country,First show_id
"Ireland, United Kingdom, United States",s6117
"Ireland, United States",s6944
"Ireland, United States, France",s7128
"Ireland, United States, United Kingdom",s528
Israel,s2677
"Israel, Germany",s8235
"Israel, Germany, France",s5677
"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",s8255
"Israel, Sweden, Germany, Netherlands",s7519
"Israel, United States",s1080
Italy,s1004
"Italy, Belgium",s3349
"Italy, Brazil, Greece",s271
"Italy, Canada, France",s6839
"Italy, France",s3905
"Italy, France, Switzerland",s8015
"Italy, Germany",s6872
"Italy, India",s7555
"Italy, South Africa, West Germany, Australia, United States",s7994
"Italy, Switzerland, Albania, Poland",s4879
"Italy, Switzerland, France, Germany",s4356
"Italy, Turkey",s2618
"Italy, United Kingdom",s1059
"Italy, United Kingdom, France",s2586
"Italy, United States",s167
"Italy, United States, Argentina",s4888
"Jamaica, United States",s8074
Japan,s1041
"Japan, Canada",s8796
"Japan, Canada, United States",s1725
"Japan, United States",s1121
Jordan,s278
Kenya,s1210
"Kenya, United States",s2947
Kuwait,s1579
"Kuwait, United States",s490
Lebanon,s1048
"Lebanon, Canada, France",s1720
"Lebanon, France",s1826
"Lebanon, Palestine, Denmark, Qatar",s1118
"Lebanon, Qatar",s5639
"Lebanon, Syria",s695
"Lebanon, United Arab Emirates",s742
"Lebanon, United Arab Emirates, France, Switzerland, Germany",s1821
"Lebanon, United States, United Arab Emirates",s1825
Luxembourg,s1321
Malaysia,s1520
"Malaysia, Singapore, Hong Kong",s3610
Mauritius,s883
"Mauritius, South Africa",s3112
Mexico,s1003
"Mexico, Argentina",s4491
"Mexico, Brazil",s895
"Mexico, Finland",s3964
"Mexico, France",s8247
"Mexico, France, Colombia",s751
"Mexico, Netherlands",s4362
"Mexico, Spain",s1784
"Mexico, United States",s1441
"Mexico, United States, Spain, Colombia",s3213
Mozambique,s2197
Namibia,s1928
Netherlands,s1110
"Netherlands, Belgium",s4006
"Netherlands, Belgium, Germany, Jordan",s4972
"Netherlands, Belgium, United Kingdom, United States",s7196
"Netherlands, Denmark, France, Germany",s6388
"Netherlands, Denmark, South Africa",s6034
"Netherlands, Germany, Denmark, United Kingdom",s2745
"Netherlands, Germany, Italy, Canada",s3067
